,customerid,systemloanid,loannumber,loanamount,totaldue,termdays,good_bad_flag
62,8a8589b953bc23f70153c90114817143,301980705,7,30000.0,39000.0,60,Bad
63,8a858e02578f616401579484a4963345,302002801,12,30000.0,34500.0,30,Bad
64,8a858e0b5cfa2028015d092b47e27e30,301985334,2,10000.0,13000.0,30,Good
65,8a858e1556321b940156548b9ca970a6,301984218,12,40000.0,48000.0,60,Good
66,8a858e195b90e512015ba0eb4eed5ef5,301964674,5,20000.0,24500.0,30,Good
67,8a858e205af28299015af50a799745c5,301994002,7,30000.0,39000.0,60,Good
68,8a858e2e5bb57a37015bbe1b8d6d3830,301964194,3,10000.0,13000.0,30,Good
69,8a858e3559080830015923412dd84294,301972478,10,40000.0,44000.0,30,Good
70,8a858e3e5b3ee747015b3f0409012b7f,301963059,5,30000.0,39000.0,60,Good
71,8a858e4a5cac6f81015cad78a648389f,301988316,2,10000.0,13000.0,30,Good
72,8a858e575bf80f73015bfbc59df93401,301967317,3,10000.0,13000.0,30,Good
73,8a858e625c8d993a015c95e7ced318df,301993647,2,10000.0,13000.0,30,Good
74,8a858e655a047d1a015a12bb060936ff,301997062,3,10000.0,13000.0,30,Good
75,8a858e6e55c554c20155c6d8e2925c62,301984086,8,10000.0,13000.0,30,Good
76,8a858e785acd3412015acd7bdec42d4f,301965319,6,30000.0,34500.0,30,Good
77,8a858e875c63d395015c74bdfd343206,302001775,2,10000.0,13000.0,30,Good
78,8a858e8d56adbdae0156b30248fe3104,301975923,4,20000.0,24500.0,30,Good
79,8a858e985885ff6d01589211d7c01088,301983843,6,20000.0,24500.0,30,Good
80,8a858ea15ca2565c015ca6ed24977b5e,301976588,2,10000.0,13000.0,30,Good
81,8a858eaa55a0b8ae0155bab849c616a1,301984604,2,10000.0,13000.0,30,Good
82,8a858eb4596ff919015974a667560a89,301968410,8,30000.0,34500.0,30,Good
83,8a858ec55b441639015b444e78b7361f,301979821,4,10000.0,11125.0,15,Good
84,8a858ece5b0142e3015b0a3a7f183339,302001189,5,20000.0,24500.0,30,Good
85,8a858eda552adcc20155307212b55ac2,301982461,11,30000.0,34500.0,30,Good
86,8a858ee454da1cbd0154e2796fba7142,301978197,12,30000.0,34500.0,30,Bad
87,8a858ee65a8401a1015a8447d2ac1cf2,302003266,6,20000.0,24500.0,30,Good
88,8a858eef5554890501555868a7475f44,301977148,8,15000.0,16687.5,15,Good
89,8a858eff55a090650155a13892552a0b,301991683,2,10000.0,11500.0,15,Good
90,8a858f0656b7820c0156c3e3a61c1d33,301971016,15,50000.0,52500.0,30,Good
91,8a858f0f5bfd79d2015c0331ce3378fe,301997626,2,10000.0,11500.0,15,Good
92,8a858f1f587161850158742ebbce53d8,301974331,9,30000.0,34500.0,30,Good
93,8a858f275c451af5015c49a2c43b5fb2,301980592,2,10000.0,13000.0,30,Good
94,8a858f305cb1ec4e015cb215f0500a8d,301978868,2,10000.0,13000.0,30,Good
95,8a858f375cef1cbc015ceff67d505f59,302001119,2,10000.0,13000.0,30,Good
96,8a858f425b85835d015b85bfe40538db,301966525,2,10000.0,13000.0,30,Good
97,8a858f495c5973ce015c59c5f099417c,301994809,3,10000.0,13000.0,30,Good
98,8a858f54589736f401589857085e3b5b,301981912,9,40000.0,44000.0,30,Good
99,8a858f585bfd6341015c03694f85158f,301974102,4,10000.0,11500.0,15,Good
100,8a858f5e5cf45779015cf47ed8db1872,302002546,2,10000.0,13000.0,30,Good
101,8a858f665c45930d015c54a24fdc1f6c,301969912,2,10000.0,11500.0,15,Good
102,8a858f6f5b3f095b015b4083532532a0,301990087,2,10000.0,13000.0,30,Good
103,8a858f7a5ca22d3c015ca24d01461879,301973351,2,10000.0,13000.0,30,Good
104,8a858f8d5cc56f9a015cc57e769908ac,301989000,2,10000.0,13000.0,30,Bad
105,8a858f965bb63a25015bc22b915e62f1,301985658,5,20000.0,22250.0,15,Good
106,8a858f985b80ab2c015b81098b8f2c2e,301983234,4,20000.0,24500.0,30,Good
107,8a858fa15c8ceaaa015c8d79c65f4f86,301978213,2,10000.0,13000.0,30,Good
108,8a858fa95b631878015b6401c15973f3,301967211,3,10000.0,11500.0,15,Bad
109,8a858faf56b7821c0156b93cd62a6275,301960745,9,40000.0,48000.0,60,Good
110,8a858fb45b3eef19015b3fa969390cd3,301989976,4,20000.0,22250.0,15,Good
111,8a858fbd5cd6054a015ce82aa3914088,302003004,2,10000.0,13000.0,30,Good
112,8a858fca5c830943015c835e839e33a5,301972727,2,10000.0,11500.0,15,Good
113,8a858fcf5591c5cf015597c298cb15d9,301982812,2,10000.0,13000.0,30,Good
114,8a858fd55c45ba15015c4f06ea176506,301991520,3,10000.0,11500.0,15,Good
115,8a858fdf5bf85f71015bfc1f51f9690a,301978816,2,10000.0,13000.0,30,Good
116,8a858fea5b391cd7015b3936e1ca25c8,301960217,5,20000.0,24500.0,30,Good
117,8a858ff45be92ea2015be98bc2162c96,301967768,2,10000.0,13000.0,30,Good
118,8a858ffb5b350b52015b352574d219d9,301974266,4,20000.0,24500.0,30,Good
119,8a8589a453bc422d0153c993db2604b6,301980988,11,40000.0,44000.0,30,Bad
120,8a858e275c7ea5ec015c82482d7c3996,301972172,2,10000.0,13000.0,30,Bad
121,8a858e885b68546c015b6cb377c12140,301959359,2,10000.0,13000.0,30,Bad
122,8a858ee65be8d42d015bea072bee5936,301974609,4,20000.0,24500.0,30,Bad
123,8a858f3455a0d8070155c5fee7cc0a6d,302000058,2,10000.0,13000.0,30,Bad
124,8a858f7e5c69a6e3015c69b6aba2072e,301965257,2,10000.0,11500.0,15,Bad
125,8a858fd25c5a5bc7015c5b63cb92393a,301991539,2,10000.0,13000.0,30,Bad
126,8a1edbf14734127f0147356fdb1b1eb2,301979352,3,10000.0,11500.0,15,Good
127,8a85884e54a0565b0154ba3fa6c72e7e,301983552,3,10000.0,11500.0,15,Good
128,8a8588f754a058cb0154b3b507dc1abe,302002166,7,30000.0,34500.0,30,Good
129,8a85892e5425ad2001542d2827756546,301966927,5,20000.0,24500.0,30,Good
130,8a8589b953d0be470153d0e6e1490a90,301994120,18,50000.0,52500.0,30,Good
131,8a858e0458d4ac3d0158dd57e64e736c,301995112,2,10000.0,13000.0,30,Bad
132,8a858e0d59b7438d0159b7e0aa7533cd,302001025,7,30000.0,34500.0,30,Good
133,8a858e1556321b9401564c8d8e8144d8,301966102,12,20000.0,22250.0,15,Bad
134,8a858e225c404292015c4419d23d04f8,301996254,3,10000.0,13000.0,30,Good
135,8a858e3654e2a82401550631bfcd571d,301987129,3,10000.0,13000.0,30,Good
136,8a858e445add19b4015addc433723178,301965422,7,30000.0,39000.0,60,Good
137,8a858e5b5bd99460015bd9e9ee2e18f4,301985880,5,20000.0,21750.0,15,Good
138,8a858e615c832be8015c83b1cd532bb9,301992885,3,10000.0,11500.0,15,Bad
139,8a858e69566ae5b801567378795b7add,301969219,5,20000.0,24500.0,30,Good
140,8a858e6e55c554c20155d574b4596645,302001070,2,10000.0,13000.0,30,Bad
141,8a858e725b3424d2015b3427a76103d2,301987972,4,10000.0,12250.0,30,Good
142,8a858e845accb4f9015accdccf761e20,302002022,5,10000.0,13000.0,30,Good
143,8a858e9156e137c601570b2f414c4258,301976281,3,10000.0,13000.0,30,Bad
144,8a858ea35a28b88b015a3be970e0681d,301965790,6,20000.0,24500.0,30,Good
145,8a858eac5c451942015c58ac70523824,301963171,2,10000.0,13000.0,30,Good
146,8a858eb95b3ed48c015b4034cc273ab2,301964139,2,10000.0,13000.0,30,Good
147,8a858ebd5b254c8b015b2fd8dafc7cee,301960638,7,30000.0,34500.0,30,Good
148,8a858ec65c123dfb015c150e513455db,302000057,2,10000.0,13000.0,30,Good
149,8a858ed25ba09f98015ba3f2c69e6d69,301978182,2,10000.0,11500.0,15,Good
150,8a858ed55bafadc7015bb15979d1553e,301977823,4,15000.0,18375.0,30,Good
151,8a858eda5c8863ff015c911534db43b8,301981584,2,10000.0,11500.0,15,Good
152,8a858ee0560bc07701561391bb845623,301998428,2,10000.0,13000.0,30,Good
153,8a858ee55cb156e6015cbb9fb27c2ad1,301979496,2,10000.0,13000.0,30,Good
154,8a858ef258d4a48b0158e998c5794c1c,301972678,8,30000.0,34500.0,30,Good
155,8a858eff55a090650155b7b1624119ab,301981694,2,10000.0,11500.0,15,Good
156,8a858f065b1fe50a015b200b42462585,302003134,4,10000.0,13000.0,30,Good
157,8a858f0d58a18ebc0158ab6deec27309,301978801,7,30000.0,39000.0,60,Good
158,8a858f13556665aa01556dbccd6e1a20,301958939,12,40000.0,44000.0,30,Good
159,8a858f1e5aec5791015aecbc59413486,301989227,4,10000.0,11500.0,15,Bad
160,8a858f265b5c418f015b5c58effa1a88,301995427,2,10000.0,13000.0,30,Good
161,8a858f2756cec0a30156e2d4cea415a3,301993582,10,30000.0,39000.0,60,Good
162,8a858f2d5853901a01586382639065c7,301993916,3,10000.0,13000.0,30,Good
163,8a858f315ccb979d015ccf98ddd4661f,301971434,2,10000.0,11500.0,15,Good
164,8a858f3d5add42e2015ae9ab7c277132,301989546,6,30000.0,34500.0,30,Good
165,8a858f465668e3d601566ad583100ef5,301982373,9,30000.0,34500.0,30,Good
166,8a858f545908094b01591185749d6f25,301973433,6,20000.0,24500.0,30,Good
167,8a858f595ccb6f86015cced9f57a03d6,301998238,2,10000.0,13000.0,30,Good
168,8a858f60562378450156250366f10f86,301982565,9,30000.0,34500.0,30,Good
169,8a858f6e5cb16eb9015cbb1fb520374d,301981043,2,10000.0,13000.0,30,Good
170,8a858f7958b0a4a80158b47fb32010f3,301962513,11,40000.0,44000.0,30,Good
171,8a858f7e5c213ef4015c21ca37fb3888,301965919,3,10000.0,13000.0,30,Good
172,8a858f93572e873c01574753c9513a4e,301976223,7,20000.0,24500.0,30,Good
173,8a858f975c4582c4015c4e5295c66873,301966141,2,10000.0,13000.0,30,Good
174,8a858f9d5668e3f101566fb7494822f9,301977225,9,30000.0,34500.0,30,Good
175,8a858fe45cd62cbf015cdfb7b59f05f4,301981311,2,10000.0,11000.0,15,Good
176,8a858fec5ceec886015ceee4a2ab15ac,301988451,2,10000.0,13000.0,30,Good
177,8a858ff8582fcb8601583e9ee74e1732,301972192,6,10000.0,13000.0,30,Bad
178,8a858ffd5c8d343d015c97cecd270cb5,301983037,2,10000.0,11500.0,15,Good
179,8a858e105bd92644015be762bf10576f,301971610,3,10000.0,13000.0,30,Bad
180,8a858e675c3fe0a1015c417e73085191,301962068,3,20000.0,22250.0,15,Bad
181,8a858ed1594a282f01594a4d14f50a58,301997241,2,10000.0,13000.0,30,Bad
182,8a858f095c3b2c30015c3b5964a111df,301987038,2,10000.0,13000.0,30,Bad
183,8a858f5f5b39bb0c015b3b298dd1358b,301975660,4,10000.0,11500.0,15,Bad
184,8a858f9c57f74b1d0157f753c181047e,302003928,11,30000.0,34500.0,30,Bad
185,8a858fe25ab3f041015ab51fc3c44cbd,301964593,4,10000.0,13000.0,30,Bad
186,8a8189d152443f820152443f89500001,301959651,13,20000.0,24500.0,30,Good
187,8a8588b754517d800154555019c36231,301979420,7,10000.0,11500.0,15,Good
188,8a8589045384bd8301539e05b3d35023,301996750,11,50000.0,52500.0,30,Good
189,8a858953548fb0c001549b31ac5f6dda,301989107,13,10000.0,11000.0,30,Good
190,8a858e0156b782a10156b8e131824d39,302000874,6,10000.0,11500.0,30,Good
191,8a858e065ccb8bc0015ccc9d8c2532cb,301963351,2,10000.0,13000.0,30,Good
192,8a858e0f5c45466f015c546652e81026,301968737,3,10000.0,11500.0,15,Bad
193,8a858e195b90e512015b9312936863cf,301993060,5,20000.0,24500.0,30,Good
194,8a858e2e5bb57a37015bc8ff494a1089,301971212,2,10000.0,13000.0,30,Good
195,8a858e3a54e337020154fda980777859,301964363,4,20000.0,24500.0,30,Good
196,8a858e4b5cb1e4d7015cbbde80436cf1,302000107,2,10000.0,13000.0,30,Good
197,8a858e5d57518f4601576a5b604c4adf,301983476,2,10000.0,11500.0,15,Good
198,8a858e64590ae20001590c511d9b0cdf,301995440,4,10000.0,11500.0,15,Good
199,8a858e695d1e075c015d211df3354b8e,301993459,2,10000.0,13000.0,30,Good
200,8a858e705668e1670156810ee20960b7,301995489,7,30000.0,34500.0,30,Good
201,8a858e785c8d9167015c9b35e2411165,301964385,2,10000.0,13000.0,30,Good
202,8a858e8d56b784480156b7d232f723a8,301981843,10,30000.0,39000.0,60,Good
203,8a858e9b5bcf8546015bcfaf5b680756,301992038,3,10000.0,11500.0,15,Bad
204,8a858ea45c109201015c10d210791b14,301989459,3,10000.0,11500.0,15,Good
205,8a858eb85886bdc30158acf926932eda,301985920,3,10000.0,13000.0,30,Good
206,8a858eba5c884d2a015c8c4c58c5088a,301989034,2,10000.0,11500.0,15,Good
207,8a858ec45577f83e01557eaf9f0b1f4c,301994832,2,10000.0,11500.0,15,Good
208,8a858ec95afc0922015affaaf5992c1a,301990137,5,15000.0,18375.0,30,Good
209,8a858ed45becf685015bed6fceb6498b,301971284,4,20000.0,24500.0,30,Bad
210,8a858eda552adcc2015559532234110a,301971842,10,30000.0,39000.0,60,Good
211,8a858edb5bd936e4015be394167c4698,301960645,4,20000.0,24500.0,30,Good
212,8a858ee45b62dadc015b660294b5292e,301983046,4,20000.0,24500.0,30,Good
213,8a858eed5756fb0e0157576dda0129e5,301971945,5,10000.0,13000.0,30,Good
214,8a858ef95cf5154a015cf659212d26ce,301997230,2,10000.0,13000.0,30,Good
215,8a858f03582a54c301582f698a281700,301998641,9,30000.0,39000.0,60,Good
216,8a858f0a56ffda560157093acf144b87,301993387,9,30000.0,39000.0,60,Good
217,8a858f0f5d1df2ad015d219c38c87827,301991765,2,10000.0,13000.0,30,Good
218,8a858f185d1daff6015d279fcb900eef,302000168,2,10000.0,13000.0,30,Good
219,8a858f245a4cde1e015a4e6271fd6c46,301989017,5,20000.0,24500.0,30,Good
220,8a858f265c2187bd015c346b5bb74ea9,301987858,5,20000.0,24500.0,30,Good
221,8a858f295c8d307f015c9e4f9b771eed,301990621,2,10000.0,11500.0,15,Good
222,8a858f2f54e28d530154f3a9d35625d8,301984482,4,10000.0,11500.0,15,Good
223,8a858f375b493337015b4943d3aa1027,301975700,6,20000.0,22250.0,15,Good
224,8a858f405d13c45f015d1407060e316e,301997774,2,10000.0,11500.0,15,Good
225,8a858f4e5ba5e8d3015ba9d8b01b3062,301977608,4,20000.0,24500.0,30,Good
226,8a858f565b683b56015b7b6b606e1ec9,301973408,5,20000.0,24500.0,30,Good
227,8a858f5f55f82ae30155f91ba4250aea,301991791,9,30000.0,34500.0,30,Good
228,8a858f6a5b1fa846015b1ff2a147401d,301958705,7,15000.0,17250.0,30,Good
229,8a858f765c350480015c35105f3f04c1,301967996,2,10000.0,13000.0,30,Good
230,8a858f7c5be8dc45015be8eaadb90c0e,301974641,3,10000.0,13000.0,30,Good
231,8a858f8e5b8c34d3015b8f4fe5ca199d,302003717,5,10000.0,11500.0,15,Good
232,8a858f965c6950da015c6acefa5f661f,301969908,2,10000.0,13000.0,30,Good
233,8a858f99560bbe4501561d163d570cba,301968364,11,50000.0,57500.0,90,Good
234,8a858f9f5679951a01568d9941453c97,301970851,6,30000.0,34500.0,30,Good
235,8a858fa25bd92c20015bda1a38cf5a24,301964950,3,10000.0,13000.0,30,Good
236,8a858fa55acd8061015ad0b778b013ea,301969891,5,20000.0,24500.0,30,Good
237,8a858fae5921beeb01592ad3c5c12bc1,301989355,6,20000.0,24500.0,30,Good
238,8a858fb557330de1015750e05ade4eb8,301977417,4,10000.0,13000.0,30,Good
239,8a858fbc594a495c01596db4320c084a,301966408,6,20000.0,24500.0,30,Good
240,8a858fc9580b91da0158126363fb3f16,301985409,11,15000.0,15750.0,15,Good
241,8a858fd05bfd7d3c015c0cc8a1a86a92,301988161,3,10000.0,13000.0,30,Good
242,8a858fd55b8752ba015b895180e74ffe,301974439,5,20000.0,24500.0,30,Good
243,8a858fe45cd62cbf015cd63942a40385,301973677,2,10000.0,11500.0,15,Bad
244,8a858fe8555f401f01556e0a6ac317b7,301962448,8,30000.0,34500.0,30,Good
245,8a858ff35c5f4d1d015c6379bbcf0adc,302002597,3,10000.0,13000.0,30,Good
246,8a858ffa55ca72a50155de6808cd2f3f,301988630,9,40000.0,48000.0,60,Bad
247,8a858ffd5c8d343d015c978f755b7fbe,301981175,2,10000.0,11500.0,15,Good
248,8a858e065ccb8bc0015cce72dd475bfc,301990035,2,10000.0,13000.0,30,Bad
249,8a858e6d5b62e36f015b668ed4dc3aaa,301989006,3,10000.0,13000.0,30,Bad
250,8a858eb95a8f9e4c015a91f3f9dc6d7a,302000407,2,10000.0,13000.0,30,Bad
251,8a858f045bc9690c015bcabf87506275,302000854,4,20000.0,24500.0,30,Bad
252,8a858f3a58b5b0fe0158b6ca51f756ce,301978202,2,10000.0,13000.0,30,Bad
253,8a858f6b570f2de9015721e9fbb40ecf,301967322,4,10000.0,13000.0,30,Bad
254,8a858fb959976ce001599c31ae157981,302000638,7,30000.0,39000.0,60,Bad
255,8a858ff259d1429e0159d2d0194c4b8e,301967780,5,10000.0,11500.0,15,Bad
256,8a85883353e2e4e40153f068a4634e02,301988385,15,50000.0,57500.0,90,Good
257,8a8588b75438f49901544510041e0951,301966582,5,20000.0,24500.0,30,Good
258,8a8588f5542eb0d401542f48f0381490,301961628,15,40000.0,44000.0,30,Good
259,8a85890754145ace01542184054739e2,301984376,12,30000.0,33000.0,30,Good
260,8a85896653e2e18b0153ea4c2b00049f,301964905,6,10000.0,12250.0,30,Bad
261,8a8589c1545181f301547d2cfb142ff4,301961146,4,10000.0,13000.0,30,Good
262,8a858e045b495c30015b4f8417aa61c4,301963036,3,10000.0,13000.0,30,Good
263,8a858e105bd92644015bdd374f0d1a3a,301977518,2,10000.0,13000.0,30,Good
264,8a858e185b4923b4015b49f7165a4acd,301965717,7,30000.0,39000.0,60,Good
265,8a858e225a28c713015a33e7c0bf5ed8,301966371,9,30000.0,34500.0,30,Good
266,8a858e2c5cc64f70015cc942825e71ae,301983228,2,10000.0,13000.0,30,Good
267,8a858e395cb1d4d9015cba9fbb6e6e2c,301990182,2,10000.0,13000.0,30,Good
268,8a858e3e5922ba4301593831652558a5,301970786,4,10000.0,13000.0,30,Good
269,8a858e4f58b9f0b40158c027a53e65a8,301997209,9,20000.0,21500.0,15,Good
270,8a858e585693982b0156b6329ee229d6,301974941,9,30000.0,39000.0,60,Good
271,8a858e615c832be8015c87cc64661017,301969404,2,10000.0,13000.0,30,Good
272,8a858e675cc6685e015cc6eb279c3e84,301995014,2,10000.0,11500.0,15,Good
273,8a858e6c5c88d145015c894de1a91c5c,301958736,2,10000.0,13000.0,30,Good
274,8a858e705668e167015685e1e07c19d4,301990120,10,40000.0,48000.0,60,Good
275,8a858e7855113fb70155136433e942c9,301960506,10,20000.0,24500.0,30,Bad
276,8a858e7d5d328208015d3409dd464483,302003400,2,10000.0,11500.0,15,Good
277,8a858e905ce98e8d015cede36efc025d,302000343,2,10000.0,13000.0,30,Bad
278,8a858eae5bb5beb8015bb947fd2f4f4d,301968908,3,10000.0,11500.0,15,Good
279,8a858eb55cf45581015cf47853d613db,301999103,2,10000.0,13000.0,30,Good
280,8a858ec959f3d0320159f411f586198d,302003515,9,10000.0,11125.0,15,Good
281,8a858ed55c5f1965015c5f58ecbc2069,301965479,2,10000.0,13000.0,30,Bad
282,8a858edb5a70bfe0015a7ef6715642d0,301970883,5,20000.0,24500.0,30,Good
283,8a858ee055ffbe17015607e67cec57e9,301974828,7,30000.0,34500.0,30,Good
284,8a858ee755a0c84a0155a3b5a9ab2308,301968884,10,10000.0,11500.0,15,Bad
285,8a858eef55548905015554a9578505d4,301969491,5,10000.0,13000.0,30,Good
286,8a858f00590ac4e70159320caa4a190c,301999405,9,40000.0,44000.0,30,Good
287,8a858f045bab240c015baf9e44646d76,301977302,2,10000.0,13000.0,30,Good
288,8a858f0f5bfd79d2015c0c2370d436a1,301974348,4,30000.0,34500.0,30,Good
289,8a858f1b5b256bc9015b2a8b75dc0b45,301962370,6,15000.0,18375.0,30,Good
290,8a858fa154e2912f0155065fcda06f84,301963280,9,20000.0,24500.0,30,Good
291,8a858fa3552ae1120155398656a154c3,301967051,14,40000.0,44000.0,30,Good
292,8a858faa56dffac60156ffa41b542ce7,301997081,7,30000.0,34500.0,30,Good
293,8a858fb15b34a708015b37eeb86e0008,301974198,4,10000.0,13000.0,30,Bad
294,8a858fba5cd5feee015cdb7399184dc9,301994078,2,10000.0,13000.0,30,Good
295,8a858fbf5b3a0b46015b3d5e8fae2a65,301970263,5,20000.0,24500.0,30,Good
296,8a858fcb5bab1fda015baebcd3791586,301998060,6,20000.0,24500.0,30,Good
297,8a858fd35b5dfefb015b5e080dc50892,302001243,5,20000.0,24500.0,30,Good
298,8a858fda5c3b0f1c015c403b1f5c301c,301988111,3,10000.0,13000.0,30,Good
299,8a858fe5569398920156b644671b0f2a,301983689,3,10000.0,13000.0,30,Good
300,8a858fed5cabd3a0015cac23520a3743,301964989,2,10000.0,13000.0,30,Good
301,8a858ff85b339568015b33e96b393bff,301993243,5,20000.0,24500.0,30,Good
302,8a858ffb5d1832fd015d184b6ad80f09,301969137,2,10000.0,13000.0,30,Good
303,8a76e7d443e6e97c0143ed0a13cb4f61,301999706,4,30000.0,39000.0,60,Bad
304,8a858e255b910db1015ba0f1568c39f8,302001211,5,20000.0,24500.0,30,Bad
305,8a858ea55b58f026015b599e472439d2,301971655,3,10000.0,13000.0,30,Bad
306,8a858ed25ba09f98015ba9a3696f65db,301996875,3,10000.0,13000.0,30,Bad
307,8a858f265c2187bd015c3402a9e52573,301965363,3,10000.0,11500.0,15,Bad
308,8a858f555cc65d60015cc87c7641417a,301987208,2,10000.0,13000.0,30,Bad
309,8a858f8e5d0dc74e015d0de015760ef2,301984957,2,10000.0,13000.0,30,Bad
310,8a858fe8555f401f01556dbd487e78d5,301967012,5,10000.0,13000.0,30,Bad
311,8a85881053bc33670153c9dc2e3a4393,301996417,10,40000.0,48000.0,60,Good
312,8a85888c548fb3d501549748043c4fc2,301987464,3,10000.0,11500.0,15,Good
313,8a8588dc5384a05f0153982119c81a51,301963816,3,10000.0,13000.0,30,Good
314,8a8588fd53e2e6cf0153ec3302de1278,301968211,8,30000.0,39000.0,60,Good
