,customerid,systemloanid,loannumber,loanamount,totaldue,termdays
30,8a858edb5ad79cc6015ad7c9b29415c8,301930222,4,20000.0,24500.0,30
31,8a858ee55830c4b90158337542ab18a1,301796623,3,10000.0,13000.0,30
32,8a858eec5ca21dcb015ca2493dee1e2d,301940917,1,10000.0,13000.0,30
33,8a858ef75997d0180159a695b01e2c4c,301915330,3,10000.0,13000.0,30
34,8a858f03582604ff0158260fcc730548,301920437,8,20000.0,24500.0,30
35,8a858f03582604ff0158260fcc730548,301821068,4,10000.0,11500.0,15
36,8a858f085b905684015b906e73a01478,301916890,2,10000.0,13000.0,30
37,8a858f2656e154de0156e3a87cdc45fb,301918988,3,20000.0,24500.0,30
38,8a858f3d5add42e2015ae0ca6cb66b83,301954121,7,30000.0,34500.0,30
39,8a858f3d5add42e2015ae0ca6cb66b83,301919843,6,20000.0,24500.0,30
40,8a858f4655ca643c0155cbc4e13945cc,301737932,5,30000.0,34500.0,30
41,8a858f4655ca643c0155cbc4e13945cc,301686961,3,20000.0,24500.0,30
42,8a858f4655ca643c0155cbc4e13945cc,301778772,8,30000.0,34400.0,30
43,8a858f4655ca643c0155cbc4e13945cc,301674835,2,10000.0,13000.0,30
44,8a858f555cc65d60015cc72de106320c,301945632,1,10000.0,11500.0,15
45,8a858f60560bc43d01561d94abd91c48,301936690,2,10000.0,13000.0,30
46,8a858f6e5aa3c922015aa3d9cba10a74,301939402,4,20000.0,22250.0,15
47,8a858f7e564ad338015654d3a5c242a5,301919279,6,20000.0,24500.0,30
48,8a858f7e564ad338015654d3a5c242a5,301835124,3,10000.0,13000.0,30
49,8a858f9158aff6a30158b5f2ff887585,301862302,6,20000.0,23800.0,30
50,8a858f9158aff6a30158b5f2ff887585,301767307,1,10000.0,11500.0,15
51,8a858f995a4762a5015a4c25b0ea01c3,301867766,3,10000.0,13000.0,30
52,8a858f995a4762a5015a4c25b0ea01c3,301920228,5,20000.0,24500.0,30
53,8a858fae5b49223f015b499e1cf9485b,301865971,1,10000.0,11500.0,15
54,8a858fb15b34a708015b350c4a1a58d2,301936637,2,10000.0,13000.0,30
55,8a2a81a74ce8c05d014cfb32a0da1049,301923941,10,20000.0,24500.0,30
56,8a2a81a74ce8c05d014cfb32a0da1049,301954468,11,20000.0,24500.0,30
57,8a2a81a74ce8c05d014cfb32a0da1049,301777989,6,20000.0,23800.0,30
58,8a8588f35438fe12015444567666018e,301901083,6,10000.0,11500.0,15
59,8a8588f35438fe12015444567666018e,301775359,1,10000.0,11500.0,15
60,8a858970548359cc0154883481981866,301694829,1,10000.0,13000.0,30
61,8a858970548359cc0154883481981866,301890627,7,30000.0,39000.0,60
62,8a8589f35451855401546b0738c42524,301800029,1,10000.0,13000.0,30
63,8a8589f35451855401546b0738c42524,301819631,2,10000.0,13000.0,30
64,8a858e1158dc4d830158f7bde4f47ea7,301823683,4,20000.0,23800.0,30
65,8a858e1158dc4d830158f7bde4f47ea7,301782950,2,10000.0,13000.0,30
66,8a858e1158dc4d830158f7bde4f47ea7,301773722,1,10000.0,11500.0,15
67,8a858e1d5cd58f9e015ceda4bdb63673,301954751,1,10000.0,11500.0,15
68,8a858e395cb1d4d9015cb236b4811cbc,301957201,1,10000.0,13000.0,30
69,8a858e4456ced8470156dc8f1f4038d3,301826179,6,30000.0,34400.0,30
70,8a858e4456ced8470156dc8f1f4038d3,301949674,10,40000.0,44000.0,30
71,8a858e5357d823010157d932443d28a3,301876572,10,30000.0,34400.0,30
72,8a858e5357d823010157d932443d28a3,301810788,7,20000.0,21900.0,15
73,8a858e5357d823010157d932443d28a3,301943526,12,40000.0,44000.0,30
74,8a858e5b5bd99460015bdf725e143ff4,301927361,2,10000.0,13000.0,30
75,8a858e705668e16701567f1523211e5a,301750035,6,30000.0,32250.0,15
76,8a858e705668e16701567f1523211e5a,301733094,4,20000.0,22250.0,15
77,8a858e705668e16701567f1523211e5a,301872588,12,40000.0,44800.0,30
78,8a858e705668e16701567f1523211e5a,301792732,9,30000.0,34400.0,30
79,8a858e7d595026f8015951c0c4a03fae,301796388,2,10000.0,11500.0,15
80,8a858e7d595026f8015951c0c4a03fae,301883320,8,30000.0,34400.0,30
81,8a858e885c17687c015c19eead6338fd,301914007,1,10000.0,13000.0,30
82,8a858e9b5a195041015a1a602a51519d,301925994,4,10000.0,11125.0,15
83,8a858ea555d9e6020155f489c9b237f8,301877130,1,10000.0,13000.0,30
84,8a858eb85c1be44c015c1c4b667d25ee,301932629,2,10000.0,13000.0,30
85,8a858ed35cc5ce51015cc60f40f522b4,301945239,1,10000.0,11500.0,15
86,8a858edb5ad79cc6015ad7c9b29415c8,301895586,3,10000.0,13000.0,30
87,8a858ee55830c4b90158337542ab18a1,301846110,4,10000.0,13000.0,30
88,8a858ef75997d0180159a695b01e2c4c,301945905,4,20000.0,24500.0,30
89,8a858f03582604ff0158260fcc730548,301797413,3,10000.0,11500.0,15
90,8a858f03582604ff0158260fcc730548,301954906,9,20000.0,24500.0,30
91,8a858f085b905684015b906e73a01478,301955292,3,10000.0,13000.0,30
92,8a858f2656e154de0156e3a87cdc45fb,301701657,1,10000.0,13000.0,30
93,8a858f2e5c699f3a015c6cf27a036477,301927665,1,10000.0,13000.0,30
94,8a858f3d5add42e2015ae0ca6cb66b83,301887383,4,20000.0,21900.0,15
95,8a858f3d5add42e2015ae0ca6cb66b83,301869437,3,10000.0,11500.0,15
96,8a858f4655ca643c0155cbc4e13945cc,301830101,10,40000.0,44800.0,30
97,8a858f4655ca643c0155cbc4e13945cc,301857808,11,40000.0,44800.0,30
98,8a858f4655ca643c0155cbc4e13945cc,301923147,13,40000.0,44000.0,30
99,8a858f4f5511dca201551b73634170b6,301951170,3,10000.0,13000.0,30
100,8a858f5e599783c0015997c56ef70ffa,301808589,2,10000.0,11500.0,15
101,8a858f6e5aa3c922015aa3d9cba10a74,301842945,2,10000.0,11500.0,15
102,8a858f785cea234f015cea434e0a09e6,301953730,1,10000.0,11500.0,15
103,8a858f7e564ad338015654d3a5c242a5,301855399,4,10000.0,13000.0,30
104,8a858f9158aff6a30158b5f2ff887585,301773695,2,10000.0,13000.0,30
105,8a858f9158aff6a30158b5f2ff887585,301840565,5,20000.0,23800.0,30
106,8a858f975c4582c4015c550ee4925686,301921298,1,10000.0,13000.0,30
107,8a858f995a4762a5015a4c25b0ea01c3,301883811,4,20000.0,23800.0,30
108,8a858fa45bd95e9a015be131cdec35a8,301912857,1,10000.0,11500.0,15
109,8a858fc55b2fde30015b30c9256b43fd,301852878,1,10000.0,13000.0,30
110,8a858fd45a4260bc015a42ac9e89278d,301915839,3,10000.0,13000.0,30
111,8a858fe45cd62cbf015cdfb7b59f05f4,301951715,1,10000.0,13000.0,30
112,8a858ff8582fcb8601583e9ee74e1732,301801757,2,10000.0,13000.0,30
113,8a858e105bd92644015be762bf10576f,301895331,1,10000.0,11500.0,15
114,8a858ed1594a282f01594a4d14f50a58,301953671,1,10000.0,13000.0,30
115,8a858f5f5b39bb0c015b3b298dd1358b,301944135,3,10000.0,11500.0,15
116,8a858f9c57f74b1d0157f753c181047e,301922686,9,30000.0,34500.0,30
117,8a858f9c57f74b1d0157f753c181047e,301887692,8,30000.0,34400.0,30
118,8a858fe25ab3f041015ab51fc3c44cbd,301875898,2,10000.0,13000.0,30
119,8a8189d152443f820152443f89500001,301673341,6,20000.0,24500.0,30
120,8a8189d152443f820152443f89500001,301783584,8,20000.0,23800.0,30
121,8a8189d152443f820152443f89500001,301941053,11,10000.0,11500.0,15
122,8a8588b754517d800154555019c36231,301828401,3,10000.0,13000.0,30
123,8a8589045384bd8301539e05b3d35023,301890968,8,30000.0,33000.0,30
124,8a8589045384bd8301539e05b3d35023,301748955,4,10000.0,11125.0,15
125,8a8589045384bd8301539e05b3d35023,301832329,7,40000.0,47600.0,60
126,8a858953548fb0c001549b31ac5f6dda,301752870,7,30000.0,34500.0,30
127,8a858953548fb0c001549b31ac5f6dda,301735892,6,30000.0,34500.0,30
128,8a858953548fb0c001549b31ac5f6dda,301949328,12,10000.0,11000.0,30
129,8a858e0156b782a10156b8e131824d39,301905169,4,20000.0,22250.0,15
130,8a858e0f5c45466f015c546652e81026,301921129,1,10000.0,11500.0,15
131,8a858e195b90e512015b9312936863cf,301880350,1,10000.0,11500.0,15
132,8a858e3a54e337020154fda980777859,301625971,1,10000.0,11500.0,15
133,8a858e64590ae20001590c511d9b0cdf,301941731,2,10000.0,11500.0,15
134,8a858e705668e1670156810ee20960b7,301954840,6,30000.0,34500.0,30
135,8a858e705668e1670156810ee20960b7,301695852,2,10000.0,13000.0,30
136,8a858e8d56b784480156b7d232f723a8,301794672,6,25000.0,29000.0,30
137,8a858e8d56b784480156b7d232f723a8,301838060,8,30000.0,36800.0,60
138,8a858e9b5bcf8546015bcfaf5b680756,301915339,2,10000.0,13000.0,30
139,8a858eb85886bdc30158acf926932eda,301942527,2,10000.0,13000.0,30
140,8a858ec95afc0922015affaaf5992c1a,301946625,4,10000.0,12250.0,30
141,8a858ed45becf685015bed6fceb6498b,301902494,2,10000.0,11500.0,15
142,8a858eda552adcc2015559532234110a,301752426,4,20000.0,24500.0,30
143,8a858eda552adcc2015559532234110a,301646001,2,10000.0,13000.0,30
144,8a858edb5bd936e4015be394167c4698,301894162,1,10000.0,13000.0,30
145,8a858ee45b62dadc015b660294b5292e,301915715,2,10000.0,13000.0,30
146,8a858eed5756fb0e0157576dda0129e5,301839319,3,10000.0,13000.0,30
147,8a858f03582a54c301582f698a281700,301827829,5,20000.0,23800.0,30
148,8a858f03582a54c301582f698a281700,301793202,3,10000.0,13000.0,30
149,8a858f0a56ffda560157093acf144b87,301709275,1,10000.0,13000.0,30
150,8a858f0a56ffda560157093acf144b87,301879314,6,10000.0,11450.0,15
151,8a858f185d1daff6015d279fcb900eef,301973801,1,10000.0,11500.0,15
152,8a858f245a4cde1e015a4e6271fd6c46,301936534,4,20000.0,22250.0,15
153,8a858f265c2187bd015c346b5bb74ea9,301916118,1,10000.0,13000.0,30
154,8a858f2f54e28d530154f3a9d35625d8,301917250,2,10000.0,11500.0,15
155,8a858f375b493337015b4943d3aa1027,301874699,2,10000.0,13000.0,30
156,8a858f4e5ba5e8d3015ba9d8b01b3062,301922752,2,10000.0,13000.0,30
157,8a858f565b683b56015b7b6b606e1ec9,301908218,3,20000.0,24500.0,30
158,8a858f5f55f82ae30155f91ba4250aea,301926857,7,30000.0,34500.0,30
159,8a858f5f55f82ae30155f91ba4250aea,301689989,2,10000.0,13000.0,30
160,8a858f6a5b1fa846015b1ff2a147401d,301919217,5,15000.0,16687.5,15
161,8a858f765c350480015c35105f3f04c1,301916295,1,10000.0,13000.0,30
162,8a858f8e5b8c34d3015b8f4fe5ca199d,301919375,3,10000.0,11500.0,15
163,8a858fb15b34a708015b350c4a1a58d2,301949864,3,10000.0,13000.0,30
164,8a858fc55b2fde30015b30c9256b43fd,301957036,4,20000.0,24500.0,30
165,8a858fcb5ca240f7015ca64a71fa1951,301938814,1,10000.0,13000.0,30
166,8a858fd45a4260bc015a42ac9e89278d,301826759,1,10000.0,13000.0,30
167,8a858ff8582fcb8601583e9ee74e1732,301755741,1,10000.0,11500.0,15
168,8a858ff8582fcb8601583e9ee74e1732,301862612,4,10000.0,13000.0,30
169,8a858e675c3fe0a1015c417e73085191,301941230,2,10000.0,11500.0,15
170,8a858f5f5b39bb0c015b3b298dd1358b,301916214,2,10000.0,11500.0,15
171,8a858f9c57f74b1d0157f753c181047e,301853059,7,20000.0,23800.0,30
172,8a858f9c57f74b1d0157f753c181047e,301797236,4,10000.0,13000.0,30
173,8a858f9c57f74b1d0157f753c181047e,301750165,1,10000.0,13000.0,30
174,8a8189d152443f820152443f89500001,301600134,1,5000.0,6500.0,30
175,8a8189d152443f820152443f89500001,301946488,12,10000.0,11500.0,15
176,8a8189d152443f820152443f89500001,301610305,4,10000.0,13000.0,30
177,8a8588b754517d800154555019c36231,301941690,6,10000.0,13000.0,30
178,8a8588b754517d800154555019c36231,301871153,4,10000.0,13000.0,30
179,8a8589045384bd8301539e05b3d35023,301922716,9,40000.0,48000.0,60
180,8a8589045384bd8301539e05b3d35023,301646905,3,10000.0,13000.0,30
181,8a858953548fb0c001549b31ac5f6dda,301639547,2,10000.0,11500.0,15
182,8a858953548fb0c001549b31ac5f6dda,301650379,3,10000.0,13000.0,30
183,8a858953548fb0c001549b31ac5f6dda,301693541,4,15000.0,18375.0,30
184,8a858e0156b782a10156b8e131824d39,301930152,5,10000.0,12250.0,30
185,8a858e0156b782a10156b8e131824d39,301818285,2,10000.0,11500.0,15
186,8a858e195b90e512015b9312936863cf,301950220,4,20000.0,24500.0,30
187,8a858e2e5bb57a37015bc8ff494a1089,301887157,1,10000.0,11500.0,15
188,8a858e4b5cb1e4d7015cbbde80436cf1,301957467,1,10000.0,13000.0,30
189,8a858e64590ae20001590c511d9b0cdf,301953857,3,10000.0,11500.0,15
190,8a858e705668e1670156810ee20960b7,301748539,5,30000.0,34500.0,30
191,8a858e785c8d9167015c9b35e2411165,301935566,1,10000.0,13000.0,30
192,8a858e8d56b784480156b7d232f723a8,301740897,3,20000.0,24500.0,30
193,8a858e8d56b784480156b7d232f723a8,301691997,1,10000.0,11500.0,15
194,8a858ea45c109201015c10d210791b14,301939888,2,10000.0,11500.0,15
195,8a858eba5c884d2a015c8c4c58c5088a,301933706,1,10000.0,13000.0,30
196,8a858ec95afc0922015affaaf5992c1a,301913466,3,10000.0,11500.0,15
197,8a858ed45becf685015bed6fceb6498b,301897549,1,10000.0,13000.0,30
198,8a858eda552adcc2015559532234110a,301633489,1,10000.0,13000.0,30
199,8a858eda552adcc2015559532234110a,301766728,5,20000.0,23800.0,30
200,8a858edb5bd936e4015be394167c4698,301924171,3,20000.0,24500.0,30
201,8a858eed5756fb0e0157576dda0129e5,301820086,2,10000.0,11500.0,15
202,8a858ef95cf5154a015cf659212d26ce,301979029,1,10000.0,11500.0,15
203,8a858f03582a54c301582f698a281700,301778801,2,10000.0,13000.0,30
204,8a858f03582a54c301582f698a281700,301943383,8,30000.0,39000.0,60
205,8a858f0a56ffda560157093acf144b87,301850874,5,20000.0,23800.0,30
206,8a858f0a56ffda560157093acf144b87,301819054,3,10000.0,11500.0,15
207,8a858f245a4cde1e015a4e6271fd6c46,301820637,1,10000.0,13000.0,30
208,8a858f265c2187bd015c346b5bb74ea9,301944597,4,20000.0,24500.0,30
209,8a858f2f54e28d530154f3a9d35625d8,301932601,3,10000.0,11500.0,15
210,8a858f375b493337015b4943d3aa1027,301932916,4,20000.0,22250.0,15
211,8a858f405d13c45f015d1407060e316e,301973563,1,10000.0,11500.0,15
212,8a858f565b683b56015b7b6b606e1ec9,301870970,1,10000.0,11500.0,15
213,8a858f5f55f82ae30155f91ba4250aea,301866202,5,20000.0,21900.0,15
214,8a858f5f55f82ae30155f91ba4250aea,301957381,8,30000.0,34500.0,30
215,8a858f6a5b1fa846015b1ff2a147401d,301864453,2,10000.0,11500.0,15
216,8a858f6a5b1fa846015b1ff2a147401d,301897423,4,15000.0,16687.5,15
217,8a858f99560bbe4501561d163d570cba,301755931,5,30000.0,34500.0,30
218,8a858f99560bbe4501561d163d570cba,301784977,7,30000.0,36800.0,60
219,8a858f99560bbe4501561d163d570cba,301768408,6,30000.0,36800.0,60
220,8a858f9f5679951a01568d9941453c97,301717030,2,10000.0,11500.0,30
221,8a858fa25bd92c20015bda1a38cf5a24,301891806,1,10000.0,13000.0,30
222,8a858fa55acd8061015ad0b778b013ea,301916630,4,20000.0,24500.0,30
223,8a858fae5921beeb01592ad3c5c12bc1,301916725,4,20000.0,24500.0,30
224,8a858fb557330de1015750e05ade4eb8,301931681,3,10000.0,13000.0,30
225,8a858fbc594a495c01596db4320c084a,301863224,3,10000.0,13000.0,30
226,8a858fc9580b91da0158126363fb3f16,301824631,5,20000.0,21900.0,15
227,8a858fc9580b91da0158126363fb3f16,301918982,9,20000.0,21000.0,15
228,8a858fd05bfd7d3c015c0cc8a1a86a92,301915577,1,10000.0,13000.0,30
229,8a858fd55b8752ba015b895180e74ffe,301932068,3,10000.0,11500.0,15
230,8a858fe8555f401f01556e0a6ac317b7,301713595,4,20000.0,24500.0,30
231,8a858fe8555f401f01556e0a6ac317b7,301772400,5,30000.0,34400.0,30
232,8a858ffa55ca72a50155de6808cd2f3f,301649932,1,10000.0,11500.0,15
233,8a858ffa55ca72a50155de6808cd2f3f,301722242,4,20000.0,24500.0,30
234,8a858ffd5c8d343d015c978f755b7fbe,301950618,1,10000.0,11500.0,15
235,8a858eb95a8f9e4c015a91f3f9dc6d7a,301954933,1,10000.0,13000.0,30
236,8a858f3a58b5b0fe0158b6ca51f756ce,301767466,1,10000.0,13000.0,30
237,8a858fb959976ce001599c31ae157981,301882828,4,20000.0,23800.0,30
238,8a858fb959976ce001599c31ae157981,301829464,2,10000.0,13000.0,30
239,8a858ff259d1429e0159d2d0194c4b8e,301848678,1,10000.0,11500.0,15
240,8a85883353e2e4e40153f068a4634e02,301757656,9,25000.0,28750.0,30
241,8a85883353e2e4e40153f068a4634e02,301625497,3,10000.0,13000.0,30
242,8a85883353e2e4e40153f068a4634e02,301685032,6,10000.0,12250.0,30
243,8a8588b75438f49901544510041e0951,301691209,1,10000.0,11500.0,15
244,8a8588f5542eb0d401542f48f0381490,301813754,8,20000.0,21900.0,15
245,8a8588f5542eb0d401542f48f0381490,301790920,7,10000.0,13000.0,30
246,8a8588f5542eb0d401542f48f0381490,301672896,4,20000.0,24500.0,30
247,8a8588f5542eb0d401542f48f0381490,301834257,10,20000.0,21900.0,15
248,8a85890754145ace01542184054739e2,301836779,9,30000.0,34400.0,30
249,8a85890754145ace01542184054739e2,301643356,3,10000.0,13000.0,30
250,8a85890754145ace01542184054739e2,301765051,7,30000.0,34400.0,30
251,8a85896653e2e18b0153ea4c2b00049f,301708244,2,10000.0,13000.0,30
252,8a8589c1545181f301547d2cfb142ff4,301910959,2,10000.0,11500.0,15
253,8a858e185b4923b4015b49f7165a4acd,301905738,4,20000.0,22250.0,15
254,8a858e185b4923b4015b49f7165a4acd,301927772,5,20000.0,22250.0,15
255,8a858e225a28c713015a33e7c0bf5ed8,301862264,4,20000.0,23800.0,30
256,8a858e225a28c713015a33e7c0bf5ed8,301926116,8,30000.0,34500.0,30
257,8a858e3e5922ba4301593831652558a5,301917447,3,10000.0,13000.0,30
258,8a858e4f58b9f0b40158c027a53e65a8,301803663,1,10000.0,11500.0,15
259,8a858e4f58b9f0b40158c027a53e65a8,301825487,3,10000.0,13000.0,30
260,8a858e585693982b0156b6329ee229d6,301899255,7,20000.0,24500.0,30
261,8a858e585693982b0156b6329ee229d6,301840241,5,10000.0,13000.0,30
262,8a858e675cc6685e015cc6eb279c3e84,301945625,1,10000.0,11500.0,15
263,8a858e705668e167015685e1e07c19d4,301680182,1,10000.0,13000.0,30
264,8a858e705668e167015685e1e07c19d4,301921540,8,40000.0,48000.0,60
265,8a858e7855113fb70155136433e942c9,301713361,3,10000.0,13000.0,30
266,8a858e7855113fb70155136433e942c9,301784680,5,20000.0,23800.0,30
267,8a858e7d5d328208015d3409dd464483,301978460,1,10000.0,13000.0,30
268,8a858eb55cf45581015cf47853d613db,301962874,1,10000.0,13000.0,30
269,8a858ec959f3d0320159f411f586198d,301936356,8,15000.0,18375.0,30
270,8a858ec959f3d0320159f411f586198d,301923359,7,20000.0,22250.0,15
271,8a858edb5a70bfe0015a7ef6715642d0,301827201,1,10000.0,13000.0,30
272,8a858f7c5be8dc45015be8eaadb90c0e,301931051,2,10000.0,13000.0,30
273,8a858f8e5b8c34d3015b8f4fe5ca199d,301911662,2,10000.0,11500.0,15
274,8a858f99560bbe4501561d163d570cba,301808606,8,40000.0,47600.0,60
275,8a858f99560bbe4501561d163d570cba,301713460,3,20000.0,24500.0,30
276,8a858f9f5679951a01568d9941453c97,301737516,3,20000.0,22250.0,15
277,8a858f9f5679951a01568d9941453c97,301681582,1,10000.0,13000.0,30
278,8a858fa55acd8061015ad0b778b013ea,301895603,3,10000.0,11500.0,15
279,8a858fae5921beeb01592ad3c5c12bc1,301810913,2,10000.0,13000.0,30
280,8a858fb557330de1015750e05ade4eb8,301857966,1,10000.0,11500.0,15
281,8a858fbc594a495c01596db4320c084a,301932844,5,20000.0,24500.0,30
282,8a858fc9580b91da0158126363fb3f16,301751764,1,10000.0,11500.0,15
283,8a858fc9580b91da0158126363fb3f16,301763270,2,10000.0,11500.0,15
284,8a858fc9580b91da0158126363fb3f16,301768002,3,10000.0,11450.0,15
285,8a858fd55b8752ba015b895180e74ffe,301914031,2,10000.0,13000.0,30
286,8a858fe45cd62cbf015cd63942a40385,301952987,1,10000.0,11500.0,15
287,8a858fe8555f401f01556e0a6ac317b7,301924832,7,30000.0,34500.0,30
288,8a858ff35c5f4d1d015c6379bbcf0adc,301923906,1,10000.0,13000.0,30
289,8a858ffa55ca72a50155de6808cd2f3f,301795297,6,30000.0,36800.0,60
290,8a858ffa55ca72a50155de6808cd2f3f,301700683,3,20000.0,22250.0,15
291,8a858e6d5b62e36f015b668ed4dc3aaa,301937563,2,10000.0,13000.0,30
292,8a858f045bc9690c015bcabf87506275,301918609,2,10000.0,13000.0,30
293,8a858f6b570f2de9015721e9fbb40ecf,301902557,3,10000.0,13000.0,30
294,8a858fb959976ce001599c31ae157981,301956135,6,20000.0,24500.0,30
295,8a858ff259d1429e0159d2d0194c4b8e,301946589,4,10000.0,11500.0,15
296,8a85883353e2e4e40153f068a4634e02,301671686,5,15000.0,16687.5,15
297,8a85883353e2e4e40153f068a4634e02,301810053,11,30000.0,36800.0,60
298,8a85883353e2e4e40153f068a4634e02,301608637,1,10000.0,13000.0,30
299,8a85883353e2e4e40153f068a4634e02,301890118,13,30000.0,36000.0,60
300,8a8588b75438f49901544510041e0951,301939450,4,20000.0,22250.0,15
301,8a8588f5542eb0d401542f48f0381490,301762237,6,20000.0,23800.0,30
302,8a8588f5542eb0d401542f48f0381490,301613398,1,10000.0,13000.0,30
303,8a8588f5542eb0d401542f48f0381490,301835090,11,30000.0,34400.0,30
304,8a85890754145ace01542184054739e2,301852988,10,40000.0,44800.0,30
305,8a85890754145ace01542184054739e2,301713331,5,20000.0,24500.0,30
306,8a85890754145ace01542184054739e2,301749271,6,30000.0,34500.0,30
307,8a85896653e2e18b0153ea4c2b00049f,301625106,1,10000.0,13000.0,30
308,8a8589c1545181f301547d2cfb142ff4,301617074,1,10000.0,13000.0,30
309,8a858e045b495c30015b4f8417aa61c4,301927937,2,10000.0,13000.0,30
310,8a858e185b4923b4015b49f7165a4acd,301947612,6,20000.0,24500.0,30
311,8a858e225a28c713015a33e7c0bf5ed8,301853132,3,10000.0,13000.0,30
312,8a858e225a28c713015a33e7c0bf5ed8,301833936,2,10000.0,13000.0,30
313,8a858e2c5cc64f70015cc942825e71ae,301945935,1,10000.0,13000.0,30
314,8a858e3e5922ba4301593831652558a5,301836827,1,10000.0,13000.0,30
315,8a858e4f58b9f0b40158c027a53e65a8,301842271,4,20000.0,21900.0,15
316,8a858e4f58b9f0b40158c027a53e65a8,301810304,2,10000.0,13000.0,30
317,8a858e585693982b0156b6329ee229d6,301867945,6,15000.0,18350.0,30
318,8a858e585693982b0156b6329ee229d6,301783298,4,20000.0,23800.0,30
319,8a858e705668e167015685e1e07c19d4,301882506,7,30000.0,36800.0,60
320,8a858e705668e167015685e1e07c19d4,301739727,3,20000.0,24500.0,30
321,8a858e705668e167015685e1e07c19d4,301710749,2,10000.0,13000.0,30
322,8a858e7855113fb70155136433e942c9,301829304,6,10000.0,13000.0,30
323,8a858e7855113fb70155136433e942c9,301667095,2,10000.0,13000.0,30
324,8a858eae5bb5beb8015bb947fd2f4f4d,301884326,1,10000.0,13000.0,30
325,8a858ec959f3d0320159f411f586198d,301919081,6,10000.0,11500.0,15
326,8a85882953bc04f80153c205b75d7403,301615399,3,10000.0,11500.0,15
327,8a85882953bc04f80153c205b75d7403,301919746,7,30000.0,39000.0,60
328,8a8588dc536a14130153753dc8d32698,301890330,15,40000.0,44000.0,30
329,8a8588dc536a14130153753dc8d32698,301784467,11,30000.0,34400.0,30
330,8a8588dc536a14130153753dc8d32698,301644623,4,10000.0,13000.0,30
331,8a8588dc536a14130153753dc8d32698,301854062,14,40000.0,44800.0,30
332,8a8588fd53c244bc0153c8305ea7338f,301611372,1,10000.0,11500.0,15
333,8a85895054a061920154a909b1a76c1d,301928599,11,30000.0,34500.0,30
334,8a85895054a061920154a909b1a76c1d,301768219,5,20000.0,23800.0,30
335,8a85895054a061920154a909b1a76c1d,301626390,2,10000.0,11500.0,15
336,8a8589b953bc23f70153c90114817143,301615433,2,10000.0,13000.0,30
337,8a858e02578f616401579484a4963345,301752899,2,10000.0,11500.0,15
338,8a858e02578f616401579484a4963345,301745640,1,10000.0,11500.0,15
339,8a858e02578f616401579484a4963345,301918971,10,30000.0,34500.0,30
340,8a858e1556321b940156548b9ca970a6,301926831,11,40000.0,48000.0,60
341,8a858e1556321b940156548b9ca970a6,301809485,5,20000.0,21900.0,15
342,8a858e1556321b940156548b9ca970a6,301821765,6,20000.0,21900.0,15
343,8a858e195b90e512015ba0eb4eed5ef5,301895972,2,10000.0,11500.0,15
344,8a858e205af28299015af50a799745c5,301888144,3,10000.0,11500.0,15
