,systemloanid,loannumber,loanamount,totaldue,termdays,good_bad_flag,bank_account_type,birthdate,bank_name_clients_Access Bank,bank_name_clients_Diamond Bank,bank_name_clients_EcoBank,bank_name_clients_FCMB,bank_name_clients_Fidelity Bank,bank_name_clients_First Bank,bank_name_clients_GT Bank,bank_name_clients_Heritage Bank,bank_name_clients_Keystone Bank,bank_name_clients_Skye Bank,bank_name_clients_Stanbic IBTC,bank_name_clients_Standard Chartered,bank_name_clients_Sterling Bank,bank_name_clients_UBA,bank_name_clients_Union Bank,bank_name_clients_Unity Bank,bank_name_clients_Wema Bank,bank_name_clients_Zenith Bank
13,301995555,11,40000.0,44000.0,30,1,3.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,301983540,13,40000.0,44000.0,30,1,3.0,39.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,301967889,3,10000.0,13000.0,30,1,2.0,34.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,301958834,3,10000.0,11500.0,15,1,3.0,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,301993535,2,10000.0,11500.0,15,0,2.0,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,301985106,15,40000.0,44000.0,30,1,2.0,42.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,301959458,10,30000.0,34500.0,30,1,2.0,32.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,301964283,3,10000.0,13000.0,30,1,2.0,40.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,302003432,2,10000.0,11500.0,15,0,2.0,25.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,301976439,7,25000.0,28750.0,30,1,2.0,35.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,301973446,3,10000.0,13000.0,30,1,2.0,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,301999087,2,10000.0,13000.0,30,1,2.0,30.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,301963210,3,10000.0,13000.0,30,1,2.0,31.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,301959286,4,20000.0,24500.0,30,1,2.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,301981535,2,10000.0,11500.0,15,1,2.0,34.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,301981500,5,20000.0,22250.0,15,1,2.0,32.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,301972649,6,10000.0,13000.0,30,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,301966278,2,10000.0,13000.0,30,1,2.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,301989547,5,20000.0,24500.0,30,1,2.0,42.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,302001370,10,20000.0,24500.0,30,1,3.0,33.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,302000465,4,20000.0,24500.0,30,1,2.0,36.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,302000569,2,10000.0,13000.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,301982122,5,20000.0,22250.0,15,1,3.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,301959225,2,10000.0,13000.0,30,1,2.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,301984674,2,10000.0,11500.0,15,1,2.0,37.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,301998400,8,30000.0,34500.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,301965090,15,40000.0,44000.0,30,1,3.0,30.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,301997295,4,10000.0,13000.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,301974694,2,10000.0,13000.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,302001086,3,10000.0,11500.0,15,1,2.0,42.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,301991908,4,10000.0,11500.0,15,1,2.0,32.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,301983676,5,20000.0,22250.0,15,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,301974590,2,10000.0,13000.0,30,1,2.0,32.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,301969110,8,30000.0,34500.0,30,1,3.0,30.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,301985845,9,20000.0,22250.0,15,1,2.0,44.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,301998392,3,10000.0,13000.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,301981230,6,20000.0,24500.0,30,1,2.0,56.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,301962952,3,10000.0,13000.0,30,1,2.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,301982904,4,10000.0,13000.0,30,0,2.0,34.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,301994303,4,20000.0,24500.0,30,1,1.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,301991730,2,10000.0,11500.0,15,1,2.0,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,302001637,5,20000.0,24500.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,301960154,2,10000.0,13000.0,30,1,2.0,34.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,301961250,5,20000.0,24500.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,301968227,2,10000.0,13000.0,30,1,2.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58,301990784,8,40000.0,48000.0,60,1,2.0,42.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,301961089,17,40000.0,44000.0,30,1,3.0,48.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,301966060,4,20000.0,22250.0,15,0,2.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,301973229,12,30000.0,34500.0,30,1,2.0,48.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,301980705,7,30000.0,39000.0,60,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,302002801,12,30000.0,34500.0,30,0,3.0,39.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64,301985334,2,10000.0,13000.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,301984218,12,40000.0,48000.0,60,1,2.0,30.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
66,301964674,5,20000.0,24500.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,301994002,7,30000.0,39000.0,60,1,2.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68,301964194,3,10000.0,13000.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,301972478,10,40000.0,44000.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,301963059,5,30000.0,39000.0,60,1,2.0,33.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71,301988316,2,10000.0,13000.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,301967317,3,10000.0,13000.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,301993647,2,10000.0,13000.0,30,1,2.0,30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,301997062,3,10000.0,13000.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,301984086,8,10000.0,13000.0,30,1,2.0,30.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76,301965319,6,30000.0,34500.0,30,1,2.0,26.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,302001775,2,10000.0,13000.0,30,1,2.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
78,301975923,4,20000.0,24500.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,301983843,6,20000.0,24500.0,30,1,2.0,40.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,301976588,2,10000.0,13000.0,30,1,2.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,301984604,2,10000.0,13000.0,30,1,3.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,301968410,8,30000.0,34500.0,30,1,2.0,37.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83,301979821,4,10000.0,11125.0,15,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,302001189,5,20000.0,24500.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,301982461,11,30000.0,34500.0,30,1,3.0,38.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,301978197,12,30000.0,34500.0,30,0,3.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,302003266,6,20000.0,24500.0,30,1,2.0,42.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,301977148,8,15000.0,16687.5,15,1,2.0,44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
89,301991683,2,10000.0,11500.0,15,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,301971016,15,50000.0,52500.0,30,1,3.0,37.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,301997626,2,10000.0,11500.0,15,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,301974331,9,30000.0,34500.0,30,1,2.0,32.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
93,301980592,2,10000.0,13000.0,30,1,2.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
94,301978868,2,10000.0,13000.0,30,1,2.0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,302001119,2,10000.0,13000.0,30,1,2.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,301966525,2,10000.0,13000.0,30,1,2.0,34.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,301994809,3,10000.0,13000.0,30,1,2.0,35.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
98,301981912,9,40000.0,44000.0,30,1,2.0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,301974102,4,10000.0,11500.0,15,1,2.0,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,302002546,2,10000.0,13000.0,30,1,2.0,27.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,301969912,2,10000.0,11500.0,15,1,2.0,47.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,301990087,2,10000.0,13000.0,30,1,2.0,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,301973351,2,10000.0,13000.0,30,1,2.0,34.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104,301989000,2,10000.0,13000.0,30,0,2.0,38.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,301985658,5,20000.0,22250.0,15,1,2.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106,301983234,4,20000.0,24500.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,301978213,2,10000.0,13000.0,30,1,2.0,41.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,301967211,3,10000.0,11500.0,15,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,301960745,9,40000.0,48000.0,60,1,2.0,38.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
110,301989976,4,20000.0,22250.0,15,1,2.0,33.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111,302003004,2,10000.0,13000.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,301972727,2,10000.0,11500.0,15,1,2.0,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,301982812,2,10000.0,13000.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,301991520,3,10000.0,11500.0,15,1,2.0,44.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,301978816,2,10000.0,13000.0,30,1,2.0,32.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116,301960217,5,20000.0,24500.0,30,1,2.0,33.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
117,301967768,2,10000.0,13000.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,301974266,4,20000.0,24500.0,30,1,2.0,32.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,301980988,11,40000.0,44000.0,30,0,2.0,31.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,301972172,2,10000.0,13000.0,30,0,2.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
121,301959359,2,10000.0,13000.0,30,0,2.0,32.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,301974609,4,20000.0,24500.0,30,0,2.0,31.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
123,302000058,2,10000.0,13000.0,30,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,301965257,2,10000.0,11500.0,15,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,301991539,2,10000.0,13000.0,30,0,2.0,34.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,301979352,3,10000.0,11500.0,15,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,301983552,3,10000.0,11500.0,15,1,3.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
128,302002166,7,30000.0,34500.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,301966927,5,20000.0,24500.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,301994120,18,50000.0,52500.0,30,1,3.0,42.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131,301995112,2,10000.0,13000.0,30,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,302001025,7,30000.0,34500.0,30,1,2.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
133,301966102,12,20000.0,22250.0,15,0,2.0,31.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
134,301996254,3,10000.0,13000.0,30,1,2.0,32.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
135,301987129,3,10000.0,13000.0,30,1,3.0,43.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,301965422,7,30000.0,39000.0,60,1,2.0,40.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137,301985880,5,20000.0,21750.0,15,1,2.0,30.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,301992885,3,10000.0,11500.0,15,0,2.0,31.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
139,301969219,5,20000.0,24500.0,30,1,3.0,42.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140,302001070,2,10000.0,13000.0,30,0,3.0,27.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,301987972,4,10000.0,12250.0,30,1,2.0,34.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,302002022,5,10000.0,13000.0,30,1,2.0,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
143,301976281,3,10000.0,13000.0,30,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,301965790,6,20000.0,24500.0,30,1,2.0,32.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,301963171,2,10000.0,13000.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,301964139,2,10000.0,13000.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,301960638,7,30000.0,34500.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,302000057,2,10000.0,13000.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,301978182,2,10000.0,11500.0,15,1,2.0,28.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
150,301977823,4,15000.0,18375.0,30,1,2.0,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
151,301981584,2,10000.0,11500.0,15,1,2.0,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,301998428,2,10000.0,13000.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,301979496,2,10000.0,13000.0,30,1,2.0,31.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
154,301972678,8,30000.0,34500.0,30,1,2.0,30.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
155,301981694,2,10000.0,11500.0,15,1,3.0,32.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,302003134,4,10000.0,13000.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,301978801,7,30000.0,39000.0,60,1,2.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
158,301958939,12,40000.0,44000.0,30,1,2.0,31.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
159,301989227,4,10000.0,11500.0,15,0,2.0,39.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
160,301995427,2,10000.0,13000.0,30,1,2.0,38.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
161,301993582,10,30000.0,39000.0,60,1,3.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
162,301993916,3,10000.0,13000.0,30,1,2.0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
163,301971434,2,10000.0,11500.0,15,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,301989546,6,30000.0,34500.0,30,1,2.0,30.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
165,301982373,9,30000.0,34500.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,301973433,6,20000.0,24500.0,30,1,2.0,29.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
167,301998238,2,10000.0,13000.0,30,1,2.0,35.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
168,301982565,9,30000.0,34500.0,30,1,2.0,39.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,301981043,2,10000.0,13000.0,30,1,2.0,34.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
170,301962513,11,40000.0,44000.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,301965919,3,10000.0,13000.0,30,1,2.0,34.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
172,301976223,7,20000.0,24500.0,30,1,2.0,30.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,301966141,2,10000.0,13000.0,30,1,2.0,52.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
174,301977225,9,30000.0,34500.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,301981311,2,10000.0,11000.0,15,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,301988451,2,10000.0,13000.0,30,1,2.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,301972192,6,10000.0,13000.0,30,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,301983037,2,10000.0,11500.0,15,1,2.0,31.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
179,301971610,3,10000.0,13000.0,30,0,2.0,27.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
180,301962068,3,20000.0,22250.0,15,0,2.0,32.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,301997241,2,10000.0,13000.0,30,0,2.0,39.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
182,301987038,2,10000.0,13000.0,30,0,2.0,27.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
183,301975660,4,10000.0,11500.0,15,0,2.0,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
184,302003928,11,30000.0,34500.0,30,0,3.0,37.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,301964593,4,10000.0,13000.0,30,0,2.0,28.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
186,301959651,13,20000.0,24500.0,30,1,3.0,30.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
187,301979420,7,10000.0,11500.0,15,1,2.0,45.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
188,301996750,11,50000.0,52500.0,30,1,2.0,32.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
189,301989107,13,10000.0,11000.0,30,1,3.0,33.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
190,302000874,6,10000.0,11500.0,30,1,3.0,29.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
191,301963351,2,10000.0,13000.0,30,1,2.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
192,301968737,3,10000.0,11500.0,15,0,2.0,31.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
193,301993060,5,20000.0,24500.0,30,1,2.0,35.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,301971212,2,10000.0,13000.0,30,1,2.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
195,301964363,4,20000.0,24500.0,30,1,3.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
196,302000107,2,10000.0,13000.0,30,1,2.0,36.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,301983476,2,10000.0,11500.0,15,1,2.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
198,301995440,4,10000.0,11500.0,15,1,2.0,33.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
199,301993459,2,10000.0,13000.0,30,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,301995489,7,30000.0,34500.0,30,1,2.0,54.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
201,301964385,2,10000.0,13000.0,30,1,2.0,30.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,301981843,10,30000.0,39000.0,60,1,3.0,43.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,301992038,3,10000.0,11500.0,15,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,301989459,3,10000.0,11500.0,15,1,2.0,32.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
205,301985920,3,10000.0,13000.0,30,1,2.0,35.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
206,301989034,2,10000.0,11500.0,15,1,2.0,26.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
